DECK_COUNT,GAMMA,BATCH_SIZE,LEARNING_RATE,EPS_START,EPS_DECAY,EPS_MIN,MIN_BET,MAX_BET,INITIAL_BANKROLL,MEMORY_SIZE,AverageReward,HardAcc,SoftAcc,PairsAcc,OverallAcc
6,0.9,32,0.0005,0.5,0.98,0.001,1,50,1000,50000,-0.142,,,,
6,0.9,32,0.0005,0.5,0.99,0.01,1,50,1000,1000,-0.1975,,,,
6,0.9,32,0.0005,0.5,0.99,0.01,1,50,1000,20000,-0.1715,,,,
6,0.9,32,0.0005,0.5,0.99,0.01,1,50,1000,50000,-0.124,,,,
6,0.9,32,0.0005,0.5,0.99,0.001,1,50,1000,1000,-0.1185,,,,
6,0.9,32,0.0005,0.5,0.99,0.001,1,50,1000,20000,-0.13,,,,
6,0.9,32,0.0005,0.5,0.99,0.001,1,50,1000,50000,-0.1325,,,,
6,0.9,32,0.0005,0.5,0.995,0.01,1,50,1000,1000,-0.1595,,,,
6,0.9,32,0.0005,0.5,0.995,0.01,1,50,1000,20000,-0.1195,,,,
6,0.9,32,0.0005,0.5,0.995,0.01,1,50,1000,50000,-0.1755,,,,
6,0.9,32,0.0005,0.5,0.995,0.001,1,50,1000,1000,-0.1475,,,,
6,0.9,32,0.0005,0.5,0.995,0.001,1,50,1000,20000,-0.1445,,,,
6,0.9,32,0.0005,0.5,0.995,0.001,1,50,1000,50000,-0.084,,,,
6,0.9,32,0.001,1.0,0.98,0.01,1,50,1000,1000,-0.281,,,,
6,0.9,32,0.001,1.0,0.98,0.01,1,50,1000,20000,-0.1185,,,,
6,0.9,32,0.001,1.0,0.98,0.01,1,50,1000,50000,-0.136,,,,
6,0.9,32,0.001,1.0,0.98,0.001,1,50,1000,1000,-0.1305,,,,
6,0.9,32,0.001,1.0,0.98,0.001,1,50,1000,20000,-0.1005,,,,
6,0.9,32,0.001,1.0,0.98,0.001,1,50,1000,50000,-0.123,,,,
6,0.9,32,0.001,1.0,0.99,0.01,1,50,1000,1000,-0.1285,,,,
6,0.9,32,0.001,1.0,0.99,0.01,1,50,1000,20000,-0.143,,,,
6,0.9,32,0.001,1.0,0.99,0.01,1,50,1000,50000,-0.1115,,,,
6,0.9,32,0.001,1.0,0.99,0.001,1,50,1000,1000,-0.1535,,,,
6,0.9,32,0.001,1.0,0.99,0.001,1,50,1000,20000,-0.0915,,,,
6,0.9,32,0.001,1.0,0.99,0.001,1,50,1000,50000,-0.1815,,,,
6,0.9,32,0.001,1.0,0.995,0.01,1,50,1000,1000,-0.2095,,,,
6,0.9,32,0.001,1.0,0.995,0.01,1,50,1000,20000,-0.1265,,,,
6,0.9,32,0.001,1.0,0.995,0.01,1,50,1000,50000,-0.2425,,,,
6,0.9,32,0.001,1.0,0.995,0.001,1,50,1000,1000,-0.1455,,,,
6,0.9,32,0.001,1.0,0.995,0.001,1,50,1000,20000,-0.141,,,,
6,0.9,32,0.001,1.0,0.995,0.001,1,50,1000,50000,-0.1065,,,,
6,0.9,32,0.001,0.5,0.98,0.01,1,50,1000,1000,-0.222,,,,
6,0.9,32,0.001,0.5,0.98,0.01,1,50,1000,20000,-0.205,,,,
6,0.9,32,0.001,0.5,0.98,0.01,1,50,1000,50000,-0.1365,,,,
6,0.9,32,0.001,0.5,0.98,0.001,1,50,1000,1000,-0.221,,,,
6,0.9,32,0.001,0.5,0.98,0.001,1,50,1000,20000,-0.1495,,,,
6,0.9,32,0.001,0.5,0.98,0.001,1,50,1000,50000,-0.202,,,,
6,0.9,32,0.001,0.5,0.99,0.01,1,50,1000,1000,-0.211,,,,
6,0.9,32,0.001,0.5,0.99,0.01,1,50,1000,20000,-0.1055,,,,
6,0.9,32,0.001,0.5,0.99,0.01,1,50,1000,50000,-0.117,,,,
6,0.9,32,0.001,0.5,0.99,0.001,1,50,1000,1000,-0.2475,,,,
6,0.9,32,0.001,0.5,0.99,0.001,1,50,1000,20000,-0.19,,,,
6,0.9,32,0.001,0.5,0.99,0.001,1,50,1000,50000,-0.1845,,,,
6,0.9,32,0.001,0.5,0.995,0.01,1,50,1000,1000,-0.1475,,,,
6,0.9,32,0.001,0.5,0.995,0.01,1,50,1000,20000,-0.123,,,,
6,0.9,32,0.001,0.5,0.995,0.01,1,50,1000,50000,-0.1405,,,,
6,0.9,32,0.001,0.5,0.995,0.001,1,50,1000,1000,-0.203,,,,
6,0.9,32,0.001,0.5,0.995,0.001,1,50,1000,20000,-0.1645,,,,
6,0.9,32,0.001,0.5,0.995,0.001,1,50,1000,50000,-0.123,,,,
6,0.9,64,0.0001,1.0,0.98,0.01,1,50,1000,1000,-0.091,,,,
6,0.9,64,0.0001,1.0,0.98,0.01,1,50,1000,20000,-0.145,,,,
6,0.9,64,0.0001,1.0,0.98,0.01,1,50,1000,50000,-0.1175,,,,
6,0.9,64,0.0001,1.0,0.98,0.001,1,50,1000,1000,-0.056,,,,
6,0.9,64,0.0001,1.0,0.98,0.001,1,50,1000,20000,-0.1575,,,,
6,0.9,64,0.0001,1.0,0.98,0.001,1,50,1000,50000,-0.1745,,,,
6,0.9,64,0.0001,1.0,0.99,0.01,1,50,1000,1000,-0.174,,,,
